Date;Time;Open;High;Low;Close;Volume
;;BTC-USD;BTC-USD;BTC-USD;BTC-USD;BTC-USD
2019-01-01;00:00:00;3746.71337891;3850.91381836;3707.23120117;3843.52001953;29233694
2019-01-02;00:00:00;3849.21630859;3947.98120117;3817.40942383;3943.40942383;949889540
2019-01-03;00:00:00;3931.04858398;3935.68505859;3826.22290039;3836.74121094;235247923
2019-01-04;00:00:00;3832.04003906;3865.93457031;3783.85375977;3857.71752930;552998171
2019-01-05;00:00:00;3851.97387695;3904.90307617;3836.90014648;3845.19458008;842642528
2019-01-06;00:00:00;3836.51904297;4093.29736328;3826.51318359;4076.63256836;1302060144
2019-01-07;00:00:00;4078.58496094;4092.61352539;4020.89404297;4025.24829102;933658341
2019-01-08;00:00:00;4028.47216797;4109.02099609;3996.95532227;4030.84790039;1011626009
2019-01-09;00:00:00;4031.55200195;4068.40356445;4022.66284180;4035.29638672;820937929
2019-01-10;00:00:00;4034.41137695;4064.06665039;3659.17456055;3678.92456055;-1715790796
2019-01-11;00:00:00;3674.01538086;3713.88183594;3653.06982422;3687.36547852;1243745569
2019-01-12;00:00:00;3686.97314453;3698.97827148;3653.81079102;3661.30102539;483203587
2019-01-13;00:00:00;3658.86816406;3674.76000977;3544.92724609;3552.95312500;386335170
2019-01-14;00:00:00;3557.31103516;3727.83618164;3552.28515625;3706.05224609;1356417194
2019-01-15;00:00:00;3704.21630859;3720.15332031;3619.94921875;3630.67529297;1242225006
2019-01-16;00:00:00;3631.50976562;3685.77709961;3624.67333984;3655.00683594;1099489849
2019-01-17;00:00:00;3651.87109375;3680.13598633;3621.96093750;3678.56396484;1169453087
2019-01-18;00:00:00;3677.99047852;3682.52001953;3637.08081055;3657.83935547;707994431
2019-01-19;00:00:00;3652.37792969;3758.53344727;3652.37792969;3728.56835938;1660724084
2019-01-20;00:00:00;3725.44604492;3743.38793945;3583.01953125;3601.01367188;1287522264
2019-01-21;00:00:00;3600.37280273;3608.84082031;3558.53710938;3576.03247070;709379763
2019-01-22;00:00:00;3575.08129883;3620.74658203;3539.72143555;3604.57714844;1018656260
2019-01-23;00:00:00;3605.55712891;3623.06787109;3565.31396484;3585.12304688;1138788353
2019-01-24;00:00:00;3584.50024414;3616.08740234;3569.09277344;3600.86547852;967901750
2019-01-25;00:00:00;3607.39038086;3612.92773438;3575.59741211;3599.76586914;970880243
2019-01-26;00:00:00;3599.71533203;3654.93310547;3593.34594727;3602.46044922;803215939
2019-01-27;00:00:00;3604.68725586;3612.67138672;3567.24584961;3583.96582031;1275785670
2019-01-28;00:00:00;3584.28320312;3586.75097656;3439.23291016;3470.45043945;-1681004109
2019-01-29;00:00:00;3468.87011719;3476.06542969;3400.81982422;3448.11694336;1602192197
2019-01-30;00:00:00;3443.89697266;3495.17480469;3429.38793945;3486.18164062;1660145331
2019-01-31;00:00:00;3485.40917969;3504.80493164;3447.91577148;3457.79272461;1536230975
2019-02-01;00:00:00;3460.54711914;3501.95410156;3431.59155273;3487.94531250;1127959411
2019-02-02;00:00:00;3484.62597656;3523.28735352;3467.57470703;3521.06079102;776656305
2019-02-03;00:00:00;3516.13964844;3521.38818359;3447.92431641;3464.01342773;748970288
2019-02-04;00:00:00;3467.21166992;3476.22387695;3442.58691406;3459.15405273;1037751590
2019-02-05;00:00:00;3454.95092773;3478.14819336;3451.93701172;3466.35742188;932582249
2019-02-06;00:00:00;3469.09179688;3469.09179688;3398.56542969;3413.76782227;1187228742
2019-02-07;00:00:00;3414.92944336;3427.94555664;3394.21850586;3399.47167969;709995387
2019-02-08;00:00:00;3401.37646484;3695.61401367;3391.02368164;3666.78027344;-854311491
2019-02-09;00:00:00;3671.58593750;3679.94140625;3646.55932617;3671.20361328;1863866349
2019-02-10;00:00:00;3673.20141602;3695.03613281;3640.97998047;3690.18823242;1987289607
2019-02-11;00:00:00;3695.61303711;3695.61303711;3642.28784180;3648.43066406;1982089138
2019-02-12;00:00:00;3642.75195312;3668.58691406;3618.55688477;3653.52856445;-2109550060
2019-02-13;00:00:00;3653.60400391;3669.74658203;3617.24633789;3632.07055664;2143936527
2019-02-14;00:00:00;3631.17016602;3646.25659180;3607.69775391;3616.88085938;1976077122
2019-02-15;00:00:00;3617.36840820;3647.79516602;3608.20654297;3620.81079102;1796984935
2019-02-16;00:00:00;3615.27026367;3652.84130859;3615.27026367;3629.78759766;1639776756
2019-02-17;00:00:00;3633.35937500;3680.53735352;3619.18212891;3673.83618164;-1550422089
2019-02-18;00:00:00;3671.36987305;3936.66503906;3669.98242188;3915.71435547;1318282048
2019-02-19;00:00:00;3911.66162109;4010.87939453;3908.15307617;3947.09448242;1343692063
2019-02-20;00:00:00;3946.68505859;4000.48632812;3926.24682617;3999.82055664;103439356
2019-02-21;00:00:00;4000.25683594;4010.00952148;3940.10815430;3954.11816406;-814806490
2019-02-22;00:00:00;3952.40649414;4006.53833008;3950.81640625;4005.52661133;-763409338
2019-02-23;00:00:00;3998.91625977;4166.28613281;3968.72680664;4142.52685547;332323724
2019-02-24;00:00:00;4145.45800781;4210.64160156;3793.70898438;3810.42749023;-2090674437
2019-02-25;00:00:00;3807.00244141;3913.70727539;3807.00244141;3882.69628906;728861475
2019-02-26;00:00:00;3878.69726562;3891.57885742;3837.98632812;3854.35791016;-658715596
2019-02-27;00:00:00;3857.47973633;3888.80249023;3787.05883789;3851.04736328;-288624908
2019-02-28;00:00:00;3848.26196289;3906.05834961;3845.82128906;3854.78540039;-190166794
2019-03-01;00:00:00;3853.75708008;3907.79541016;3851.69238281;3859.58374023;-928686617
2019-03-02;00:00:00;3855.31811523;3874.60742188;3832.12792969;3864.41503906;-1011148516
2019-03-03;00:00:00;3862.26611328;3875.48364258;3836.90576172;3847.17578125;-1336376440
2019-03-04;00:00:00;3845.09155273;3867.38183594;3733.74975586;3761.55712891;439241196
2019-03-05;00:00:00;3759.83251953;3903.91674805;3745.18310547;3896.37500000;1584191823
2019-03-06;00:00:00;3897.08105469;3919.51049805;3871.46069336;3903.94262695;585356937
2019-03-07;00:00:00;3903.38476562;3939.37329102;3894.11303711;3911.48437500;994230927
2019-03-08;00:00:00;3913.22583008;3950.43212891;3875.22851562;3901.13159180;2048704352
2019-03-09;00:00:00;3894.55249023;3987.23779297;3892.39038086;3963.31372070;-2088798370
2019-03-10;00:00:00;3966.17431641;3966.17431641;3924.38110352;3951.59985352;1123333015
2019-03-11;00:00:00;3953.74023438;3966.38476562;3889.23901367;3905.22729492;1535967311
2019-03-12;00:00:00;3903.75830078;3926.88916016;3863.55908203;3909.15625000;1219952487
2019-03-13;00:00:00;3913.04736328;3926.59765625;3891.90429688;3906.71728516;879250249
2019-03-14;00:00:00;3905.57690430;3946.50439453;3901.29687500;3924.36914062;1890854978
