Gmt time,Open,High,Low,Close,Volume
20.11.2018 00:00:00.000,4675,4832,3995,4293,2.7143
21.11.2018 00:00:00.000,4292,4571,4187,4483,2.3133
22.11.2018 00:00:00.000,4483,4530,4182,4207,1.5227
23.11.2018 00:00:00.000,4207,4299,4033,4199,1.6685
24.11.2018 00:00:00.000,4199,4199,4199,4199,0
25.11.2018 00:00:00.000,3988,4031,3855,3876,0.1642
26.11.2018 00:00:00.000,3876,4011,3461,3670,2.2688
27.11.2018 00:00:00.000,3670,3769,3505,3711,1.8524
28.11.2018 00:00:00.000,3711,4298,3711,4160,2.288
29.11.2018 00:00:00.000,4160,4342,4029,4185,2.3144
30.11.2018 00:00:00.000,4185,4238,3808,3871,2.1282
01.12.2018 00:00:00.000,3871,3871,3871,3871,0
02.12.2018 00:00:00.000,4086,4100,4006,4042,0.1332
03.12.2018 00:00:00.000,4042,4057,3688,3774,1.7182
04.12.2018 00:00:00.000,3774,3973,3685,3844,1.6479
05.12.2018 00:00:00.000,3844,3854,3608,3637,1.5846
06.12.2018 00:00:00.000,3637,3783,3368,3375,1.8322
07.12.2018 00:00:00.000,3375,3472,3155,3330,1.8027
08.12.2018 00:00:00.000,3330,3330,3330,3330,0
09.12.2018 00:00:00.000,3464,3496,3450,3467,0.1023
10.12.2018 00:00:00.000,3467,3531,3296,3348,1.5818
11.12.2018 00:00:00.000,3348,3368,3239,3290,1.3812
12.12.2018 00:00:00.000,3290,3428,3266,3371,1.1749
13.12.2018 00:00:00.000,3371,3380,3165,3204,1.1411
14.12.2018 00:00:00.000,3204,3234,3077,3098,0.9574
15.12.2018 00:00:00.000,3098,3098,3098,3098,0
16.12.2018 00:00:00.000,3143,3144,3124,3134,0.0689
17.12.2018 00:00:00.000,3134,3524,3123,3438,1.1217
18.12.2018 00:00:00.000,3438,3620,3375,3608,1.2837
19.12.2018 00:00:00.000,3608,3863,3586,3622,1.8877
20.12.2018 00:00:00.000,3622,4112,3603,4013,2.6248
21.12.2018 00:00:00.000,4011,4102,3716,3789,2.5538
22.12.2018 00:00:00.000,3789,3789,3789,3789,0
23.12.2018 00:00:00.000,3889,3897,3850,3884,0.1468
24.12.2018 00:00:00.000,3885,4176,3884,4006,1.8145
25.12.2018 00:00:00.000,3732,3757,3679,3720,0.1926
26.12.2018 00:00:00.000,3720,3802,3626,3749,1.9926
27.12.2018 00:00:00.000,3749,3780,3508,3531,1.8708
28.12.2018 00:00:00.000,3531,3901,3517,3833,1.6596
29.12.2018 00:00:00.000,3833,3833,3833,3833,0
30.12.2018 00:00:00.000,3761,3785,3748,3773,0.1127
31.12.2018 00:00:00.000,3773,3779,3576,3612,1.0969
01.01.2019 00:00:00.000,3659,3780,3650,3763,0.1435
02.01.2019 00:00:00.000,3763,3855,3718,3829,1.7777
03.01.2019 00:00:00.000,3829,3833,3702,3727,1.3757
04.01.2019 00:00:00.000,3728,3791,3672,3774,1.277
05.01.2019 00:00:00.000,3774,3774,3774,3774,0
06.01.2019 00:00:00.000,3739,4018,3705,3981,0.4712
07.01.2019 00:00:00.000,3981,4010,3914,3946,1.2614
08.01.2019 00:00:00.000,3946,4049,3890,3936,1.3197
09.01.2019 00:00:00.000,3936,3986,3910,3943,1.2818
10.01.2019 00:00:00.000,3943,3976,3513,3566,1.4994
11.01.2019 00:00:00.000,3566,3637,3530,3589,0.9483
12.01.2019 00:00:00.000,3589,3589,3589,3589,0
13.01.2019 00:00:00.000,3559,3575,3425,3455,0.516
14.01.2019 00:00:00.000,3455,3651,3449,3604,0.971
15.01.2019 00:00:00.000,3604,3628,3487,3520,1.0941
16.01.2019 00:00:00.000,3520,3606,3513,3548,1.254
17.01.2019 00:00:00.000,3548,3599,3485,3580,1.1026
18.01.2019 00:00:00.000,3580,3583,3520,3552,0.8568
19.01.2019 00:00:00.000,3552,3552,3552,3552,0
20.01.2019 00:00:00.000,3622,3642,3418,3474,0.4476
21.01.2019 00:00:00.000,3476,3509,3431,3473,0.891
22.01.2019 00:00:00.000,3473,3551,3373,3517,0.8839
23.01.2019 00:00:00.000,3517,3555,3462,3493,0.7385
24.01.2019 00:00:00.000,3493,3535,3470,3510,0.9965
25.01.2019 00:00:00.000,3511,3519,3452,3498,0.7586
